number, region_area, filename
6383, 109.61, 9753_1.9_normal.png
72, 7240.95, 9777_1.1_normal.png
320, 1647.98, 9777_1.3_normal.png
1222, 437.44, 9777_1.5_normal.png
4009, 135.65, 9777_1.7_normal.png
9034, 63.81, 9777_1.9_normal.png
92, 5661.82, 9860_1.1_normal.png
416, 1267.98, 9860_1.3_normal.png
1220, 444.88, 9860_1.5_normal.png
3662, 157.93, 9860_1.7_normal.png
8385, 73.92, 9860_1.9_normal.png
130, 4027.87, 9869_1.1_normal.png
441, 1193.23, 9869_1.3_normal.png
1421, 374.33, 9869_1.5_normal.png
4063, 138.24, 9869_1.7_normal.png
8722, 69.25, 9869_1.9_normal.png
191, 2739.62, 9984_1.1_normal.png
659, 800.48, 9984_1.3_normal.png
1884, 286.29, 9984_1.5_normal.png
4626, 133.9, 9984_1.7_normal.png
8389, 77.77, 9984_1.9_normal.png
69, 7642.4, 9989_1.1_normal.png
369, 1451.72, 9989_1.3_normal.png
1582, 333.32, 9989_1.5_normal.png
4490, 118.68, 9989_1.7_normal.png
9266, 61.14, 9989_1.9_normal.png
